Reviews,Positive,Negative,Neutral,New sentiments
excellent camera display performance also awesome thing improved battery im mixed user get 5 hr sot,0.476,0.0,0.524,positive
nice performancenice experiencei love ❤️ samsung,0.636,0.0,0.364,positive
stunning device excellent display excellent camera decent battery 🔋,0.667,0.0,0.333,positive
design great even though plastic back finish matte scratch free aluminium frame excellent camera rely heating farthe con battery performance average price range get application error message frequently half hour time switch phone even update,0.248,0.06,0.692,positive
best camera range battery last expected superb design classy look 💜 theme also good selfie camera isnt mark ok,0.486,0.065,0.448,positive
camera awesome struggle try record video 60fpsoverall great package,0.497,0.139,0.364,positive
camera awesomedisplay like buttery smooth decent battery everything thing good haa flipkart delivers amazing fast camera shot,0.397,0.0,0.603,positive
looking phone bbd lowest price time didnt get lowest price lower price 33k even price device worth lotlavender color last choice option stock go believe color best even back plastic doesnt look cheap verdictcamera  5display  5battery  35performance  45build  45bonus get water dust resistance al,0.116,0.141,0.743,negative
camera performance way goodand impressive resultonly one con battery,0.292,0.0,0.708,positive
wonderful camera performance also goodgreat displaybattery backup average great phone love photography watching video scrolling social medium get 4 year android update 5 year security updategreat deal overall recommended heavy gamers,0.403,0.0,0.597,positive
dont wait buy device great deal bbd everything working fine completely satisfied device 👌 nd dont worry battery nd heating issue normal  mine working absolutely fine update battery easily last till mid evening graduant  employee perfectfull paisa wasool,0.335,0.0,0.665,positive
good camera quality,0.592,0.0,0.408,positive
decent camera quality adaptor charger shall provided phone ordered samsung 25w charger much impressed super charing feature phone get charged fast battery last long diaplay amazing soft smooth screen fast performance overall like phone hope durable,0.337,0.037,0.625,positive
awesome product fatherinlow happy mobile  easy use  light weight design happy see happy,0.693,0.0,0.307,positive
photo cool 😎 👌 ☺️ ✨️  charging slow process,0.277,0.0,0.723,positive
phone good however cant get suitable back cover protect phone flipkart model atleast agency provided back cover along phone doesnt cost much,0.216,0.0,0.784,positive
superb mobile good productbattery             55camera            45display            45performance   455worth✌,0.538,0.0,0.462,positive
phone good heavy camera 710battery 1010design 410performance 810connectivity 710,0.266,0.0,0.734,positive
nice product satisfied phone looking wonderful nice phone,0.752,0.0,0.248,positive
good picture  quality,0.592,0.0,0.408,positive
review day useprosdisplay  pls lcd brighter tft lcddesign  plastic built glassy lookvariant  6 gb smoother 4 gbchipset  exynos 1330 battery efficient latest 5nm technology chip multitaskingbattery  6000 mah lasting 2 day normal usagecamera  primary selfie decent price rangesoftware  one ui 51 android 13 customize many thing unique featurescons box get,0.132,0.0,0.868,positive
battery 5volt 155 amp charging time 4 00 hr 75 watt charger  please dont  encourage  product,0.128,0.15,0.722,negative
budget product phone,0.0,0.0,1.0,neutral
good 😊👍,0.744,0.0,0.256,positive
nice battery backup good design display also okay performance ramrom ok toophone good compare valueformoney 👍,0.559,0.0,0.441,positive
overall good smartphone,0.592,0.0,0.408,positive
nice product 👌natural view amazing 👏,0.688,0.0,0.312,positive
tipe c battery 🔋 best calling super nice 👍👍👍👍👍🙂🙂🙂🙂🙂 good 💯💯💯😊😊,0.734,0.0,0.266,positive
excellent phone made india morethen 5 start rating,0.381,0.0,0.619,positive
performance super product worth,0.744,0.0,0.256,positive
nice product samsungfor elderly guy who multitasking comparatively lessoverall performance good rangerecommended 👍,0.363,0.0,0.637,positive
